広告管理 ＞ キャンペーン ＞ 広告主

"ID","広告主名","表示率","Imp","Click","CTR","CV","CVR","グロス","ネット","利益","CPC(グロス)","eCPM(グロス)"
"747","株式会社Libeiro_デルスカット","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"748","安心健康ライフ株式会社_ビハククリア","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"749","株式会社ファンファレ_トトノウミスト","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"760","株式会社青成堂_シンフォートスカルプシャンプー","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"807","CrossMagic株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"813","株式会社エムエムラボ ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"826","株式会社M&M","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"828","株式会社ハハハラボ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"859","ハハハラボ_キラリ麹","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"907","株式会社アクア","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"922","FANZA電子書籍","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"964","株式会社 東風の会","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"971","コピー＆マーケティング株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"974","株式会社wonder","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"980","ホーイズム株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"986","Line@","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1005","株式会社凸","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1012","オスリー株式会社_paddy67","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1022","PC_合同会社DMM GAMES_DMMゲーム","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1027","千_バーキュリー","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1046","株式会社バーキュリー","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1058","ビーボ―_ベルタこうじ生酵素","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1072","Frontline Marketing Japan 株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1085","動画広告配信用","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1092","Beauminant_ビキュット","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1126","株式会社アイベック","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1160","さくらの恋猫","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1187","株式会社FOH","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1192","株式会社ママコスメ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1199","株式会社ユニヴァフュージョン","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1210","株式会社ユニット","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1211","株式会社ヴィワンアークス","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1237","ユニット_占い","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1238","ジュエルライブ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1240","TSP_占い","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1243","株式会社Eq","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1250"," c543_三浦智行","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1262","株式会社ヘルスアップ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1263","株式会社Hide&Seek","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1269","株式会社井目結","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1271","株式会社メディアグローバルステージ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1278","株式会社ハハハラボ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1281","株式会社デイワン	","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1282","株式会社９","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1286","株式会社BIZENTO","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1289","cbdc_ アドネクスト ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1293","株式会社未来","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1297","株式会社ハハハラボ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1303","株式会社ハハハラボ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1322","MEGALOPOLIS","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1328","株式会社SVC","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1334","株式会社Libeiro","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1337","アドエンターグループ株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1343","株式会社美元","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1352","株式会社ハーバルアイ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1356","合同会社SGP","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1361","グローバルインターネット株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1367","株式会社Libeiro","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1374","株式会社パピレス","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1382","InterRide株式会社 ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1395","	株式会社デジタルコマース_ライブチャット","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1412","株式会社Libeiro ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1434","株式会社ダイチメディア","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1437","合同会社SkyAngle ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1439","FANZA動画","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1440","株式会社バッカス","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1443","株式会社レクタングル","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1444","株式会社Rise and Shine","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1452","株式会社ENDGE","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1456","株式会社M&M","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1460","株式会社ランテック ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1461","ウェブソア株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1462","株式会社HAL","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1468","株式会社RAVIPA","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1480","合同会社SkyAngle ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1481","株式会社ONE&STORY","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"1482","Resolution株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
